VCD info: dumpfile angle_interpolator.vcd opened for output.
time=70000 | tooth=0 | elapsed=250 | angle=0
time=90000 | tooth=0 | elapsed=500 | angle=1
time=110000 | tooth=0 | elapsed=750 | angle=3
time=130000 | tooth=1 | elapsed=0 | angle=4
time=150000 | tooth=1 | elapsed=250 | angle=6
time=170000 | tooth=1 | elapsed=500 | angle=7
time=190000 | tooth=1 | elapsed=750 | angle=9
time=210000 | tooth=2 | elapsed=0 | angle=10
time=230000 | tooth=2 | elapsed=250 | angle=12
time=250000 | tooth=2 | elapsed=500 | angle=13
time=270000 | tooth=2 | elapsed=750 | angle=15
time=290000 | tooth=3 | elapsed=0 | angle=16
time=310000 | tooth=3 | elapsed=250 | angle=18
time=330000 | tooth=3 | elapsed=500 | angle=19
time=350000 | tooth=3 | elapsed=750 | angle=21
time=370000 | tooth=4 | elapsed=0 | angle=22
time=390000 | tooth=4 | elapsed=250 | angle=24
time=410000 | tooth=4 | elapsed=500 | angle=25
time=430000 | tooth=4 | elapsed=750 | angle=27
time=450000 | tooth=5 | elapsed=0 | angle=28
time=470000 | tooth=5 | elapsed=250 | angle=30
time=490000 | tooth=5 | elapsed=500 | angle=31
time=510000 | tooth=5 | elapsed=750 | angle=33
time=530000 | tooth=6 | elapsed=0 | angle=34
time=550000 | tooth=6 | elapsed=250 | angle=36
time=570000 | tooth=6 | elapsed=500 | angle=37
time=590000 | tooth=6 | elapsed=750 | angle=39
time=610000 | tooth=7 | elapsed=0 | angle=40
time=630000 | tooth=7 | elapsed=250 | angle=42
time=650000 | tooth=7 | elapsed=500 | angle=43
time=670000 | tooth=7 | elapsed=750 | angle=45
time=690000 | tooth=8 | elapsed=0 | angle=46
time=710000 | tooth=8 | elapsed=250 | angle=48
time=730000 | tooth=8 | elapsed=500 | angle=49
time=750000 | tooth=8 | elapsed=750 | angle=51
time=770000 | tooth=9 | elapsed=0 | angle=52
time=790000 | tooth=9 | elapsed=250 | angle=54
time=810000 | tooth=9 | elapsed=500 | angle=55
time=830000 | tooth=9 | elapsed=750 | angle=57
time=850000 | tooth=10 | elapsed=0 | angle=58
time=870000 | tooth=10 | elapsed=250 | angle=60
time=890000 | tooth=10 | elapsed=500 | angle=61
time=910000 | tooth=10 | elapsed=750 | angle=63
time=930000 | tooth=11 | elapsed=0 | angle=64
time=950000 | tooth=11 | elapsed=250 | angle=66
time=970000 | tooth=11 | elapsed=500 | angle=67
time=990000 | tooth=11 | elapsed=750 | angle=69
time=1010000 | tooth=12 | elapsed=0 | angle=70
time=1030000 | tooth=12 | elapsed=250 | angle=72
time=1050000 | tooth=12 | elapsed=500 | angle=73
time=1070000 | tooth=12 | elapsed=750 | angle=75
time=1090000 | tooth=13 | elapsed=0 | angle=76
time=1110000 | tooth=13 | elapsed=250 | angle=78
time=1130000 | tooth=13 | elapsed=500 | angle=79
time=1150000 | tooth=13 | elapsed=750 | angle=81
time=1170000 | tooth=14 | elapsed=0 | angle=82
